gameId,game_datetime,game_length,game_version,puuid,placement,last_round,level,TFT11_Sivir,TFT11_Riven,TFT11_Shen,TFT11_TahmKench,TFT11_Galio,TFT11_Kaisa,TFT11_Sylas,TFT11_Udyr,TFT11_Kayle,TFT11_Caitlyn,TFT11_RekSai,TFT11_Jax,TFT11_Aatrox,TFT11_Kindred,TFT11_Senna,TFT11_Gnar,TFT11_Ornn,TFT11_Azir,TFT11_Janna,TFT11_Soraka,TFT11_Diana,TFT11_Hwei,TFT11_Rakan,TFT11_WuKong,TFT11_Annie,TFT11_Lillia,TFT11_Lissandra,TFT11_Zyra,TFT11_Morgana,TFT11_KhaZix,TFT11_Yone,TFT11_Kayn,TFT11_Neeko,TFT11_Bard,TFT11_Zoe,TFT11_LeeSin,TFT11_Irelia,TFT11_KogMaw,TFT11_Illaoi,TFT11_Yasuo,TFT11_Qiyana,TFT11_Volibear,TFT11_Tristana,TFT11_Ashe,TFT11_Nautilus,TFT11_Yorick,TFT11_Alune,TFT11_Sett,TFT11_Ahri,TFT11_Lux,TFT11_Amumu,TFT11_Syndra,TFT11_FortuneYord,TFT11_Darius,TFT11_Aphelios,TFT11_Thresh,TFT11_ChoGath,TFT11_Malphite,TFT11_Garen,TFT11_Teemo,TFT11_Xayah,Combination
KR_7005435650,1711611092537,2339.676513671875,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,BWLn3nfAuki-3ju22n-ni5exBESPlXaPsyF9bZ3uFeuvr1ks-ZL6B7x3SA_KVt_kNrHRfsg6VVk9YQ,7,28,8,2,2,1,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Sivir, TFT11_Riven, TFT11_Shen, TFT11_TahmKench, TFT11_Galio, TFT11_Kaisa, TFT11_Sylas, TFT11_Udyr, TFT11_Kayle"
KR_7005435650,1711611092537,2339.676513671875,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,mptEuTzeZ2MWsLxe4KfwLTr2iJp2uUphE7maw8CwGfeeFKXOVZ0_E8GccCzgNUfy0wiRJ1BGd1LOGQ,1,40,9,0,0,0,0,0,0,0,0,0,3,2,3,3,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Caitlyn, TFT11_RekSai, TFT11_Jax, TFT11_Aatrox, TFT11_Kindred, TFT11_Senna, TFT11_Gnar, TFT11_Ornn, TFT11_Azir"
KR_7005435650,1711611092537,2339.676513671875,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,iM__viRIlCBc3VBF9p0BK9a58MsQTrB6Svi4asmtcw4vxkVZgPWgAB3ZY98VJHwbV2YhWUTzZr_XEQ,4,34,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Udyr, TFT11_Ornn, TFT11_Azir, TFT11_Janna, TFT11_Soraka, TFT11_Diana, TFT11_Hwei, TFT11_Rakan, TFT11_WuKong"
KR_7005435650,1711611092537,2339.676513671875,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,XwRIqTXBnBYgAU3Jct9FIDtrIOy01HBn4PUM6BecUex8D2MRFJlhDu2fcAvohMYPQrRGJK65ccfeCQ,8,27,9,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_TahmKench, TFT11_Sylas, TFT11_Udyr, TFT11_Ornn, TFT11_Hwei, TFT11_Rakan, TFT11_Annie, TFT11_Lillia, TFT11_Lissandra"
KR_7005435650,1711611092537,2339.676513671875,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,bAUTBjhuA00n1167MUmonjyMgetU3Dv1-5IGNUqWwWt-59C4f_W2hhtPLqZ5KQTNdoQCjExuuGszZg,6,28,8,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Riven, TFT11_Galio, TFT11_Udyr, TFT11_Kayle, TFT11_Ornn, TFT11_Janna, TFT11_Diana, TFT11_Zyra, TFT11_Morgana"
KR_7005435650,1711611092537,2339.676513671875,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,rx1nmyxEddDyQujL2nvjfiHV_LDcBEo-zyf16l3BFnXQExOMoB6tNss-WGlc_GRgcac2tg1GhDgBhg,5,30,8,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Sylas, TFT11_Udyr, TFT11_Kindred, TFT11_Ornn, TFT11_Morgana, TFT11_KhaZix, TFT11_Yone, TFT11_Kayn"
KR_7005435650,1711611092537,2339.676513671875,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,dMhhqa_djjUT5P2jeQePRwhWzHVNKrf35C-z45JPsSKvfREWIhtlWUGHWke8oO3pf3ADGHpBABqL6g,2,40,9,0,2,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Riven, TFT11_Shen, TFT11_TahmKench, TFT11_Galio, TFT11_Kaisa, TFT11_Kayle, TFT11_Soraka, TFT11_Neeko, TFT11_Bard, TFT11_Zoe"
KR_7005435650,1711611092537,2339.676513671875,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,yAVc-bTbi86qYF3ePtvTr0DTW367seRmnhXqPLIMwmw9xLZWbrw9uIX2wSTodseM41RIG-UnnGajOw,3,35,9,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Riven, TFT11_Galio, TFT11_Kayle, TFT11_Janna, TFT11_Diana, TFT11_Hwei, TFT11_Rakan, TFT11_WuKong, TFT11_LeeSin, TFT11_Irelia"
KR_7005408175,1711608635465,2161.77392578125,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,_tFZFQDxr3ipe-amA8IMZiUugmCq6rhTN9YrLPthGkJSnh1TbAB9j1v4_pUGvH7UWmwnNM_jUtDhAw,7,27,9,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Riven, TFT11_Galio, TFT11_Ornn, TFT11_Azir, TFT11_Hwei, TFT11_Rakan, TFT11_Annie, TFT11_Lillia, TFT11_KogMaw"
KR_7005408175,1711608635465,2161.77392578125,Version 14.6.570.6276 (Mar 25 2024/14:00:15) [PUBLIC] <Releases/14.6>,_VGTHEw4TgYAsfkDjFEvIk0FDfn4MMvItgLDd-NAq-lEKlTmv4oZ9TUrlvMGui-oiZvdi07yWsWOKg,6,30,8,0,0,2,0,0,0,0,0,0,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TFT11_Shen, TFT11_Caitlyn, TFT11_Jax, TFT11_Aatrox, TFT11_Senna, TFT11_Morgana, TFT11_Illaoi"
